Date,S,E,I,R,All exposed,Daily exposed,Daily admissions,Daily remissions,Daily deaths,All admissions,All remissions,All deaths,Active cases
2020-06-19,60992470.00891571,158758.57683545866,66368.4684238593,5182403.94582495,5407530.991084268,32550.396252021194,1649.8733062653296,1451.7044283708747,388.27319264718835,220794.35602782152,165558.56892613973,39060.41068855123,16175.37641313055
2020-06-20,60960396.162366,156628.26055262733,65646.04493643402,5217330.532144914,5439604.837633976,32073.846549707465,1629.774429868805,1435.0274748416416,384.06253088151425,222424.13045769033,166993.5964009814,39444.473219432744,15986.0608372762
2020-06-21,60928681.18260051,154602.69802314157,64832.59965669529,5251884.519719626,5471319.817399463,31714.979765486903,1609.7945510048771,1418.4109256122601,379.8598922307754,224033.92500869522,168412.00732659365,39824.333111663516,15797.584570438055
2020-06-22,60897301.362244844,152711.06457463076,63897.477655243056,5286091.09552526,5502699.637755134,31379.820355671458,1589.9103813563838,1401.859176384345,375.66644129386475,225623.8353900516,169813.866502978,40199.99955295738,15609.96933411622
2020-06-23,60866331.97308394,150842.03151105467,62959.51511753951,5319867.480287442,5533669.026916036,30969.38916090224,1570.1268822854217,1385.3764367998576,371.48333816775323,227193.96227233703,171199.24293977785,40571.48289112513,15423.236441434048
2020-06-24,60835907.61078506,148800.01945592975,62227.23613039936,5353066.13362859,5564093.389214919,30424.362298882566,1550.4793586025257,1368.967106904318,367.31171871464187,228744.44163093955,172568.21004668216,40938.79460983977,15237.436974417615
2020-06-25,60805915.81525742,146739.88051436358,61536.27918410924,5385809.0250440845,5594085.184742557,29991.795527637936,1530.9902846271711,1352.6355894826238,363.1526770457609,230275.4319155667,173920.84563616477,41301.94728688554,15052.638992516397
2020-06-26,60776241.04711417,144820.81628106482,60717.33173312765,5418221.80487162,5623759.952885812,29674.768143255264,1511.6375130664724,1336.3856135866383,359.0072718383136,231787.06942863317,175257.2312497514,41660.95455872385,14868.88362015791
2020-06-27,60746897.80020927,143017.45794515754,59797.710939007215,5450288.030906551,5653103.199790715,29343.24690490309,1492.3926206065566,1320.2199994094258,354.87654646602937,233279.46204923972,176577.45124916083,42015.831105189885,14686.179694889004
2020-06-28,60718020.62440466,141134.01513537174,58986.35512050605,5481860.005339444,5681980.375595322,28877.17580460664,1473.2639814894915,1304.1413615791714,350.76153249186376,234752.72603072922,177881.59261074002,42366.59263768175,14504.54078230745
2020-06-29,60689616.6694394,139155.4060789129,58299.69048705175,5512929.233994624,5710384.330560588,28403.9549652664,1454.2818488824828,1288.152941731478,346.66322981328847,236207.0078796117,179169.7455524715,42713.25586749504,14324.006459645156
2020-06-30,60661557.009403594,137259.616463435,57548.18787689031,5543636.186256065,5738443.99059639,28059.66003580205,1435.4518210089145,1272.2584633195577,342.5825883533814,237642.4597006206,180442.00401579106,43055.838455848425,14144.617228981107
2020-07-01,60633831.28489832,135456.33871829335,56721.713614035914,5573991.662769336,5766169.715101666,27725.724505275488,1416.754689059156,1256.4611755059227,338.520509494748,239059.21438967975,181698.46519129697,43394.35896534317,13966.390233039609
2020-07-02,60606514.06378128,133634.68825244912,55938.80922606661,5603913.438740191,5793486.936218707,27317.221117041074,1398.1850658619346,1240.763300725425,334.4778549386257,240457.3994555417,182939.2284920224,43728.836820281795,13789.334143237487
2020-07-03,60579625.91870727,131760.36125793034,55236.3314351693,5633378.388599614,5820375.081292713,26888.14507400617,1379.7568723770369,1225.1664429582577,330.455445378961,241837.15632791872,184164.39493498066,44059.292265660755,13613.469127277305
2020-07-04,60553089.83706947,129937.5259901477,54503.25228493309,5662470.384655433,5846911.162930514,26536.08163780067,1361.477344590877,1209.6722291764454,326.45405311355194,243198.6336725096,185374.0671641571,44385.746318774305,13438.82018957819
2020-07-05,60526893.67190572,128178.26030800544,53726.82615571962,5691202.24163054,5873107.328094265,26196.16516375169,1343.340346791328,1194.2824027354416,322.4744010786751,244541.97401930092,186568.34956689255,44708.22071985298,13265.403732555395
2020-07-06,60501073.87445134,126425.62897845758,52968.043635242466,5719533.452934939,5898927.125548639,25819.79745437391,1325.3460834932287,1178.9985465496907,318.51716765881974,245867.32010279415,187747.34811344225,45026.7378875118,13093.234101840106
2020-07-07,60475662.51383624,124628.88256227042,52281.31419611751,5747428.289405347,5924338.486163734,25411.360615095124,1307.5054908622167,1163.821994497118,314.58298990338886,247174.82559365637,188911.17010793937,45341.32087741519,12922.334608301804
2020-07-08,60450601.99304624,122864.53159529857,51584.97875870717,5774949.496599731,5949399.006953737,25060.52079000231,1289.8246355749327,1148.75398786586,310.6724664796051,248464.6502292313,190059.92409580524,45651.9933438948,12752.73278953127
2020-07-09,60425865.8570084,121164.8677589401,50844.59138093618,5802125.683851706,5974135.142991582,24736.136037845165,1272.2974523138942,1133.7958039002183,306.7861654909833,249736.9476815452,191193.71989970547,45958.779509385786,12584.448272453941
2020-07-10,60401467.85206128,119505.09303388133,50086.78205682354,5828941.272847995,5998533.1479387,24398.00494711846,1254.9212700044238,1118.9488182277478,302.9246340766257,250991.8689515496,192312.6687179332,46261.70414346241,12417.496090153989
2020-07-11,60377459.45626905,117806.8247845615,49395.51575707001,5855339.203189295,6022541.543730927,24008.395792226307,1237.7057904866642,1104.2146141695714,299.0884025703449,252229.57474203626,193416.8833321028,46560.79254603275,12251.898863900715
2020-07-12,60353836.2610387,116070.99970850299,48769.92691987517,5881323.812332903,6046164.738961281,23623.195230354555,1220.6618711745898,1089.5950465249475,295.2779845963284,253450.23661321084,194506.47837862774,46856.070530629084,12087.68770395402
2020-07-13,60330523.795849204,114398.0310973524,48102.52133117366,5906976.651722248,6069477.204150774,23312.46518949233,1203.7843618474103,1075.092109555366,291.49388080316004,254654.02097505826,195581.57048818312,47147.56441143224,11924.886075442897
2020-07-14,60307497.88495333,112816.91975654825,47362.2643045285,5932323.93098557,6092503.115046646,23025.91089587286,1187.05835818359,1060.7077471589762,287.7365865748619,255841.07933324185,196642.2782353421,47435.30099800711,11763.500099892655
2020-07-15,60284791.64768662,111275.30901813589,46605.284715244656,5957328.758579974,6115209.352313355,22706.237266708165,1170.4833496497965,1046.4438617203182,284.0065935591823,257011.56268289164,197688.72209706242,47719.30759156629,11603.532994262932
2020-07-16,60262485.94448416,109653.04922563984,45960.349228225066,5981901.65706195,6137515.0555158155,22305.703202460892,1154.0785735648806,1032.302439290507,280.3043797648357,258165.64125645653,198721.02453635292,47999.61197133113,11445.004748772473
2020-07-17,60240537.136173576,108006.75873164833,45366.84525560153,6006090.25983915,6159463.8638264,21948.808310584165,1137.8601169978886,1018.2854358425798,276.6303990899682,259303.5013734544,199739.3099721955,48276.242370421096,11287.9490308378
2020-07-18,60218871.29838976,106436.07823204307,44717.931903498364,6029975.691474673,6181129.701610215,21665.83778381534,1121.8182058838452,1004.3943975272,272.98508446488324,260425.31957933825,200743.70436972272,48549.22745488598,11132.387754729549
2020-07-19,60197489.912687354,104933.5787716991,44021.55262129583,6053555.955919629,6202511.087312624,21381.38570240885,1105.9330453140942,990.6303038412035,269.36886158146524,261531.25262465235,201734.33467356392,48818.59631646745,10978.321634620981
2020-07-20,60176455.302917056,103405.43517590714,43378.32327745946,6076761.938629545,6223545.697082912,21034.60977028776,1090.2011256783946,976.9939790610695,265.78215496720884,262621.4537503307,202711.328652625,49084.378471434655,10825.746626271066
